channel_1,channel_2,channel_3,channel_4
-0.32965472,-0.32569784,-0.32178798,-0.31771442
-0.4192108,-0.41671354,-0.41406944,-0.41132843
-0.2634625,-0.2616926,-0.2598161,-0.25789025
-0.12081446,-0.11780633,-0.11492846,-0.11202984
-0.12002738,-0.11714091,-0.114308834,-0.11142855
-0.08427095,-0.083678454,-0.08280523,-0.081795365
0.015178458,0.014250585,0.013511397,0.012855445
-0.054463282,-0.055549856,-0.056547467,-0.057497293
-0.21474062,-0.21440771,-0.21401359,-0.21352127
-0.070155084,-0.068907864,-0.06747433,-0.06578761
0.21523233,0.21581432,0.21658525,0.21751466
0.1942973,0.19470836,0.19531816,0.19598277
-0.050290402,-0.048747987,-0.047071647,-0.045424964
-0.17564902,-0.17355865,-0.17149992,-0.16938294
-0.1673897,-0.16580024,-0.16421162,-0.16245428
-0.2735086,-0.2730994,-0.27268276,-0.27213144
-0.41250032,-0.41249508,-0.41247138,-0.41241062
-0.52723116,-0.52789354,-0.52840334,-0.52892244
-0.53575075,-0.5368393,-0.5376461,-0.5384553
-0.4593781,-0.45962813,-0.45961586,-0.45955634
-0.30946887,-0.30841467,-0.30707145,-0.30565113
-0.15562902,-0.15443756,-0.15289609,-0.15136363
-0.022565879,-0.023167064,-0.023611274,-0.024185317
0.08876225,0.08629749,0.083820134,0.08128263
0.042872787,0.038521197,0.03428178,0.030029522
-0.02031298,-0.028440036,-0.035963707,-0.043435823
0.0009993846,-0.0063194144,-0.013687576,-0.02091144
-0.13138011,-0.13758813,-0.14340717,-0.14904627
-0.54666406,-0.54925627,-0.55166155,-0.55400604
-0.7491624,-0.75027424,-0.75119734,-0.7521287
-0.5958592,-0.5974667,-0.5986823,-0.5998976
-0.43281695,-0.43506953,-0.4366367,-0.43819943
-0.4163493,-0.41761923,-0.41816592,-0.41872835
-0.17577685,-0.17716806,-0.17798355,-0.17879023
0.11394998,0.11216534,0.11062932,0.10910161
0.13740212,0.13643448,0.13573204,0.1349925
0.10013077,0.10144699,0.10298229,0.10445669
0.17348014,0.17558116,0.17784083,0.18007872
0.27407902,0.27606043,0.27824017,0.280417
0.24269833,0.24539584,0.24835776,0.2513465
0.12940139,0.13257518,0.135991,0.13951902
-0.08677335,-0.08314916,-0.079179466,-0.07493785
-0.3517698,-0.34987706,-0.347697,-0.34533438
-0.42994976,-0.4279488,-0.42578906,-0.42355302
-0.5356472,-0.5338884,-0.5321369,-0.5303912
-0.6792912,-0.67801785,-0.67675734,-0.6755222
-0.6303347,-0.62984496,-0.6292874,-0.628742
-0.34364757,-0.3450789,-0.34649432,-0.3479183
-0.12797064,-0.13074581,-0.13365051,-0.13659701
-0.20179057,-0.20294358,-0.2042478,-0.2055951
-0.06646142,-0.066204265,-0.066058494,-0.06589827
0.14207333,0.1418007,0.14143665,0.14109282
0.1501879,0.14943607,0.14854255,0.14764187
0.12137649,0.12049153,0.11949874,0.11849453
0.16214384,0.160939,0.15972896,0.1585046
0.09813309,0.09703061,0.09594053,0.09482324
0.043646757,0.04303603,0.042370424,0.041713845
0.14047447,0.1405274,0.14052199,0.1405887
0.36680722,0.3679896,0.3692043,0.37049958
0.4399004,0.44225818,0.44458234,0.44692495
0.3938359,0.39640036,0.39874738,0.40107504
0.46472046,0.4668377,0.4687414,0.47068116
0.52371174,0.5258507,0.5279041,0.5300354
0.5067832,0.50952464,0.51218265,0.5149069
0.5198284,0.5226227,0.5252764,0.5279838
0.4644967,0.46660885,0.4686614,0.47073558
0.31816047,0.31987607,0.3216563,0.32343164
0.3463538,0.34791026,0.3495028,0.35112628
0.40977576,0.41109517,0.41236344,0.413689
0.23169634,0.23322128,0.2346816,0.2361073
0.10651164,0.108274184,0.10999644,0.11164639
0.18208507,0.18338764,0.18469794,0.18603858
0.11674564,0.117450655,0.11820173,0.11902141
-0.06500891,-0.0644816,-0.06397389,-0.063510925
-0.068370186,-0.06732311,-0.06652974,-0.06584074
0.07122161,0.07262179,0.0737591,0.07488692
0.020594846,0.022400556,0.023920638,0.025456386
-0.060084473,-0.05783168,-0.055861715,-0.05384229
0.13289204,0.1340093,0.13511688,0.13628657
0.29159677,0.29259747,0.29370183,0.29488182
0.29801294,0.2981927,0.29841667,0.29867268
0.34196302,0.34129578,0.34057072,0.3398658
0.39699966,0.39658624,0.3961688,0.3957813
0.38738114,0.387405,0.3875885,0.38782442
0.43598405,0.43485513,0.4339424,0.433115
0.48946923,0.48792085,0.48649392,0.4851503
0.38266483,0.3823838,0.38212687,0.3819015
0.27533817,0.27544907,0.27558193,0.27573407
0.3249091,0.32391173,0.32290462,0.3219514
0.31591266,0.31455758,0.3131517,0.31178024
0.09946883,0.09861128,0.097793095,0.09698799
-0.20056242,-0.20201325,-0.20320524,-0.20429957
-0.25482994,-0.25722358,-0.25941834,-0.2614011
-0.2590938,-0.2613537,-0.26358554,-0.26556107
-0.40916166,-0.40990108,-0.41061324,-0.4111745
-0.52316284,-0.52326524,-0.5232976,-0.5233441
-0.42218047,-0.42293957,-0.42373368,-0.42467123
-0.14449301,-0.14568165,-0.14707506,-0.14862879
0.016771253,0.017223865,0.01756323,0.017852306
-0.058714855,-0.055805862,-0.052892674,-0.0500257
-0.10893788,-0.10685946,-0.104662515,-0.10249722
-0.20088999,-0.20138419,-0.20174468,-0.20213072
-0.25592282,-0.25768226,-0.25921127,-0.2607653
-0.17543231,-0.17738278,-0.17899163,-0.18058623
-0.08155414,-0.08417495,-0.08648822,-0.08874803
-0.2229095,-0.22561362,-0.2281985,-0.23079637
-0.37337214,-0.37585765,-0.37822005,-0.380651
-0.1961653,-0.1983705,-0.20035933,-0.20239437
0.0786073,0.0781915,0.07777773,0.077317245
0.10220462,0.10238618,0.10233878,0.10221068
0.037372384,0.037162337,0.036632594,0.036019415
0.09556622,0.09501537,0.0942106,0.09331484
0.12451182,0.1243267,0.1239591,0.12351249
-0.056753486,-0.057792593,-0.058979034,-0.060265657
-0.18804546,-0.19057123,-0.19307669,-0.19566889
0.011455689,0.010004206,0.00864812,0.0072039175
0.0056788996,0.0052996287,0.005022114,0.0046636704
-0.16631393,-0.16658472,-0.16673048,-0.16692077
-0.06871422,-0.06967242,-0.07057718,-0.071473464
-0.08681359,-0.087480895,-0.08807087,-0.08866043
-0.3167378,-0.31675905,-0.31658396,-0.31643116
-0.2742301,-0.2737247,-0.2728851,-0.27204123
0.1283927,0.12891997,0.12969615,0.13052832
0.32461447,0.32491204,0.32538027,0.32588297
0.31520465,0.31444436,0.31376532,0.3129925
0.34613508,0.34466043,0.3432401,0.34167975
0.36027506,0.3592603,0.35835454,0.3573841
0.31829566,0.3181657,0.3181705,0.31817436
0.35284048,0.35345128,0.3540825,0.35473946
0.25153545,0.25237224,0.25315487,0.25405833
-0.03505517,-0.03491517,-0.03475002,-0.03430581
-0.19923304,-0.20071813,-0.20209351,-0.20329976
0.045444626,0.044283397,0.04312835,0.04206122
0.13621153,0.13510092,0.1339766,0.13293213
0.07027403,0.068774156,0.0673235,0.06588729
0.069819555,0.0683274,0.0668722,0.06539337
0.15038976,0.14912681,0.14780924,0.14646247
0.19956459,0.19743332,0.1951802,0.19284692
0.20351006,0.20116857,0.19864707,0.19599904
0.10583318,0.10535764,0.104636595,0.10382109
0.08072374,0.081704035,0.08247268,0.083180696
0.25420174,0.2547974,0.25529474,0.25573292
0.37457323,0.37508333,0.37549284,0.3758621
0.3038497,0.304948,0.30583933,0.30667302
